Date,AirportName,PercentOfBaseline
2020-04-12,Miami International,40.0
2020-04-12,Newark Liberty International,64.0
2020-04-12,San Francisco International,29.0
2020-04-12,Seattle-Tacoma International,35.0
2020-04-12,Washington Dulles International,36.0
2020-04-13,Boston Logan International,59.0
2020-04-13,Charlotte Douglas International,62.0
2020-04-13,Chicago OHare International,66.0
2020-04-13,Dallas/Fort Worth International,59.0
2020-04-13,Daniel K. Inouye International,83.0
2020-04-13,Denver International,33.0
2020-04-13,Detroit Metropolitan Wayne County,44.0
2020-04-13,Hartsfield-Jackson Atlanta International,56.0
2020-04-13,John F. Kennedy International,42.0
2020-04-13,LaGuardia,51.0
2020-04-13,Los Angeles International,59.0
2020-04-13,McCarran International,32.0
2020-04-13,Miami International,55.0
2020-04-13,Newark Liberty International,54.0
2020-04-13,San Francisco International,37.0
2020-04-13,Seattle-Tacoma International,44.0
2020-04-13,Washington Dulles International,53.0
2020-04-14,Boston Logan International,62.0
2020-04-14,Charlotte Douglas International,61.0
2020-04-14,Chicago OHare International,71.0
2020-04-14,Dallas/Fort Worth International,62.0
2020-04-14,Daniel K. Inouye International,73.0
2020-04-14,Denver International,38.0
2020-04-14,Detroit Metropolitan Wayne County,49.0
2020-04-14,Hartsfield-Jackson Atlanta International,57.0
2020-04-14,John F. Kennedy International,45.0
2020-04-14,LaGuardia,46.0
2020-04-14,Los Angeles International,63.0
2020-04-14,McCarran International,38.0
2020-04-14,Miami International,70.0
2020-04-14,Newark Liberty International,57.0
2020-04-14,San Francisco International,47.0
2020-04-14,Seattle-Tacoma International,62.0
2020-04-14,Washington Dulles International,60.0
2020-04-15,Boston Logan International,59.0
2020-04-15,Charlotte Douglas International,70.0
2020-04-15,Chicago OHare International,72.0
2020-04-15,Dallas/Fort Worth International,60.0
2020-04-15,Daniel K. Inouye International,79.0
2020-04-15,Denver International,50.0
2020-04-15,Detroit Metropolitan Wayne County,46.0
2020-04-15,Hartsfield-Jackson Atlanta International,54.0
